,Birthdate,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Player Name
3879,1976-04-15,University of Louisiana at Monroe,35th overall,2nd round,Washington Wizards,2000,Mike Smith
3880,1988-07-25,Duke University,21st overall,1st round,Portland Trail Blazers,2011,Nolan Smith
3881,1964-01-30,Jacksonville University,41st overall,2nd round,Denver Nuggets,1986,Otis Smith
3882,,Valdosta State University,197th overall,13th round,Buffalo Braves,1971,Pete Smith
3883,1952-04-22,University of San Francisco,29th overall,2nd round,Golden State Warriors,1974,Phil Smith
3884,1948-12-12,State University of New York College at Buffalo,205th overall,14th round,Detroit Pistons,1970,Randy Smith
3885,1970-08-21,Texas Christian University,31st overall,2nd round,Portland Trail Blazers,1992,Reggie Smith
3886,1955-03-10,"University of Nevada, Las Vegas",65th overall,3rd round,Denver Nuggets,1977,Robert Smith
3887,1991-04-19,University of Louisville,47th overall,2nd round,Philadelphia 76ers,2014,Russ Smith
3888,1944-01-27,Kentucky Wesleyan College,28th overall,3rd round,Cincinnati Royals,1967,Sam Smith
3889,1955-01-08,"University of Nevada, Las Vegas",48th overall,3rd round,Atlanta Hawks,1977,Sam Smith
3890,1969-03-31,Michigan State University,5th overall,1st round,Miami Heat,1991,Steve Smith
3891,1983-04-12,La Salle University,,,,,Steven Smith
3892,1972-01-24,Arizona State University,,,,,Stevin Smith
3893,1980-10-03,Ball State University,,,,,Theron Smith
3894,1968-06-14,Marquette University,51st overall,2nd round,Los Angeles Lakers,1990,Tony Smith
3895,1949-02-14,Syracuse University,42nd overall,3rd round,Portland Trail Blazers,1971,William Smith
3896,1953-10-26,University of Missouri,18th overall,2nd round,Chicago Bulls,1976,Willie Smith
3897,1999-06-04,Texas Tech University,16th overall,1st round,Phoenix Suns,2018,Zhaire Smith
3898,1966-08-23,Marist College,2nd overall,1st round,Indiana Pacers,1988,Rik Smits
3899,1962-08-31,Canisius College,25th overall,2nd round,Portland Trail Blazers,1985,Mike Smrek
3900,1929-05-22,Niagara University,,1953 NBA Draf,New York Knicks,,Joe Smyth
3901,1991-11-10,University of New Mexico,20th overall,1st round,Chicago Bulls,2013,Tony Snell
3902,1973-04-24,Michigan State University,43rd overall,2nd round,Milwaukee Bucks,1995,Eric Snow
3903,1944-02-01,Davidson College,14th overall,2nd round,St. Louis Hawks,1966,Dick Snyder
3904,1983-06-05,"University of Nevada, Reno",16th overall,1st round,Utah Jazz,2004,Kirk Snyder
3905,1920-02-10,University of Notre Dame,,,,,Chips Sobek
3906,1953-01-15,"University of Nevada, Las Vegas",16th overall,1st round,Phoenix Suns,1975,Ricky Sobers
3907,1934-09-21,DePaul University,6th overall,1st round,Fort Wayne Pistons,1956,Ron Sobie
3908,1953-10-16,University of Utah,10th overall,1st round,Atlanta Hawks,1974,Mike Sojourner
3909,1948-09-10,Weber State University,20th overall,2nd round,Chicago Bulls,1971,Willie Sojourner
3910,1978-07-20,Clemson University,33rd overall,2nd round,Memphis Grizzlies,2001,Will Solomon
3911,1942-03-17,Duquesne University,56th overall,7th round,Baltimore Bullets,1965,Willie Somerset
3912,1978-02-14,Wake Forest University,50th overall,2nd round,Boston Celtics,2002,Darius Songaila
3913,1948-07-08,Ohio State University,26th overall,2nd round,Cleveland Cavaliers,1970,Dave Sorenson
3914,1990-04-28,Syracuse University,,,,,James Southerland
3915,1924-12-17,University of Detroit Mercy,,,,,Gino Sovran
3916,1981-11-22,"California State University, Fullerton",47th overall,2nd round,Miami Heat,2004,Pape Sow
3917,1946-10-06,University of Houston,20th overall,2nd round,Chicago Bulls,1969,Ken Spain
3918,1997-03-11,University of Louisville,56th overall,2nd round,Philadelphia 76ers,2018,Ray Spalding
3919,1957-06-28,Duke University,16th overall,1st round,Philadelphia 76ers,1979,Jim Spanarkel
3920,1982-08-07,,50th overall,2nd round,Dallas Mavericks,2004,Vassilis Spanoulis
3921,1945-04-17,Weber State University,41st overall,4th round,Cincinnati Royals,1968,Daniel Sparks
3922,1932-11-02,University of Detroit Mercy,19th overall,3rd round,New York Knicks,1955,Guy Sparrow
3923,1958-06-12,Villanova University,75th overall,4th round,New Jersey Nets,1980,Rory Sparrow
3924,1924-06-17,Western Kentucky University,,1948 BAA Draf,Chicago Stags,,Odie Spears
3925,1920-10-17,Villanova University,,,,,Art Spector
3926,1987-08-04,University of Florida,16th overall,1st round,Philadelphia 76ers,2008,Marreese Speights
3927,1997-07-21,Villanova University,30th overall,1st round,Atlanta Hawks,2018,Omari Spellman
3928,1964-07-20,Northern Arizona University,,,,,Andre Spencer
3929,1969-12-06,"University of Georgia, University of Nevada, Las Vegas",25th overall,1st round,Los Angeles Clippers,1992,Elmore Spencer
3930,1968-01-15,University of Louisville,6th overall,1st round,Minnesota Timberwolves,1990,Felton Spencer
3931,1922-11-12,Syracuse University,,,,,Lou Spicer
3932,1945-12-18,Tulane University,,,,,Craig Spitzer
3933,1985-01-01,,28th overall,1st round,San Antonio Spurs,2007,Tiago Splitter
3934,1932-09-11,Western Kentucky University,34th overall,4th round,Rochester Royals,1954,Art Spoelstra
3935,,Virginia Union University,47th overall,5th round,Philadelphia Warriors,1961,Bruce Spraggins
3936,1970-09-08,University of Alabama,24th overall,1st round,Golden State Warriors,1992,Latrell Sprewell
3937,1959-09-08,Howard University,81st overall,4th round,Houston Rockets,1981,Larry Spriggs
3938,1926-06-17,,,,,,Jim Springer
3939,1923-02-26,Rice University,,,,,Jim Spruill
3940,1975-07-24,University of South Carolina,48th overall,2nd round,Cleveland Cavaliers,1998,Ryan Stack
3941,1974-11-05,University of North Carolina,3rd overall,1st round,Philadelphia 76ers,1995,Jerry Stackhouse
3942,1951-09-04,"College of the Holy Cross, Providence College",24th overall,2nd round,Chicago Bulls,1973,Kevin Stacom
3943,1948-09-01,Cheyney University of Pennsylvania,,,,,Erv Staggs
3944,1950-01-18,University of Kansas,7th overall,1st round,Seattle SuperSonics,1972,Bud Stallworth
3945,1941-12-20,Wichita State University,3rd overall,1st round,New York Knicks,1965,Dave Stallworth
3946,1921-08-15,,,,,,Ed Stanczak
3947,1961-02-27,Temple University,15th overall,1st round,Dallas Mavericks,1984,Terence Stansbury
3948,1965-08-10,Oklahoma State University,,,,,John Starks
3949,1954-03-14,University of Pittsburgh,52nd overall,4th round,Chicago Bulls,1976,Keith Starr
3950,1993-10-07,University of Michigan,8th overall,1st round,Sacramento Kings,2014,Nik Stauskas
3951,1936-10-11,Thomas More College,64th overall,9th round,Cincinnati Royals,1958,Larry Staverman
3952,1949-05-05,University of Kentucky,37th overall,3rd round,Portland Trail Blazers,1971,Larry Steele
3953,1970-03-27,Michigan State University,52nd overall,2nd round,Chicago Bulls,1992,Matt Steigenga
3954,1976-05-08,,27th overall,1st round,Seattle SuperSonics,1998,Vladimir Stepania
3955,1990-12-19,University of Memphis,,,,,DJ Stephens
3956,1966-10-21,Purdue University,31st overall,2nd round,Philadelphia 76ers,1988,Everette Stephens
3957,1933-05-18,University of Notre Dame,7th overall,2nd round,St. Louis Hawks,1955,Jack Stephens
3958,1973-01-28,"University of Colorado, University of Arkansas at Little Rock",,,,,Joe Stephens
3959,1990-09-05,University of Cincinnati,40th overall,2nd round,Indiana Pacers,2010,Lance Stephenson
3960,1987-08-07,"University of North Carolina, University of Southern California",,,,,Alex Stepheson
3961,1959-11-07,Georgia Institute of Technology,17th overall,1st round,Kansas City Kings,1982,Brook Steppe
3962,1963-01-17,Iowa State University,43rd overall,2nd round,Denver Nuggets,1985,Barry Stevens
3963,1936-06-19,University of Cincinnati,49th overall,7th round,Cincinnati Royals,1958,Wayne Stevens
3964,1981-04-03,,23rd overall,1st round,Utah Jazz,2000,DeShawn Stevenson
3965,1947-04-11,University of Michigan,44th overall,4th round,Phoenix Suns,1969,Dennis Stewart
3966,1973-12-19,"University of Nevada, Las Vegas, California State University, Bakersfield",35th overall,2nd round,Philadelphia 76ers,1997,Kebu Stewart
3967,1968-09-21,Coppin State University,,,,,Larry Stewart
3968,1975-04-25,University of California,,,,,Michael Stewart
3969,1935-01-20,University of Missouri,,1956 NBA Draf,St. Louis Hawks,,Norm Stewart
3970,1985-09-26,University of Wisconsin,,,,,Greg Stiemsma
3971,1960-11-17,University of Missouri,2nd overall,1st round,Indiana Pacers,1983,Steve Stipanovich
3972,1970-12-10,University of Virginia,13th overall,1st round,Denver Nuggets,1992,Bryant Stith
3973,1937-07-22,St. Bonaventure University,56th overall,8th round,Cincinnati Royals,1960,Sam Stith
3974,1939-01-21,St. Bonaventure University,2nd overall,1st round,New York Knicks,1961,Tom Stith
3975,1962-11-29,"Creighton University, University of Colorado",75th overall,4th round,Seattle SuperSonics,1985,Alex Stivrins
3976,1991-06-24,Gonzaga University,,,,,David Stockton
3977,1962-03-26,Gonzaga University,16th overall,1st round,Utah Jazz,1984,John Stockton
3978,1977-06-09,,14th overall,1st round,Sacramento Kings,1996,Peja Stojakovic
3979,1971-09-03,University of Arizona,35th overall,2nd round,Miami Heat,1993,Ed Stokes
3980,1963-08-05,University of Iowa,33rd overall,2nd round,Philadelphia 76ers,1985,Greg Stokes
3981,1994-01-07,University of Tennessee,35th overall,2nd round,Utah Jazz,2014,Jarnell Stokes
3982,1933-06-17,Saint Francis University,2nd overall,1st round,Rochester Royals,1955,Maurice Stokes
3983,1920-10-23,University of Detroit Mercy,,,,,Art Stolkey
3984,,Washington State University,,,,,Randy Stoll
3985,1997-02-10,University of Maryland,40th overall,2nd round,New Orleans Pelicans,2016,Diamond Stone
3986,1946-02-09,Marshall University,115th overall,9th round,Los Angeles Lakers,1968,George Stone
3987,1988-12-07,University of Texas at El Paso,,,,,Julyan Stone
3988,1977-04-18,"University of Illinois at Urbana-Champaign, Arizona State University",,,,,Awvee Storey
3989,1973-09-03,University of Arizona,7th overall,1st round,Toronto Raptors,1995,Damon Stoudamire
3990,1982-10-11,University of Arizona,31st overall,2nd round,Atlanta Hawks,2005,Salim Stoudamire
3991,1982-11-16,,9th overall,1st round,Phoenix Suns,2002,Amar'e Stoudemire
3992,1948-08-16,Arizona State University,22nd overall,2nd round,Los Angeles Lakers,1972,Paul Stovall
3993,1985-06-15,University of Maryland,59th overall,2nd round,Phoenix Suns,2007,DJ Strawberry
3994,1940-09-21,Bradley University,34th overall,4th round,Boston Celtics,1964,Joe Strawder
3995,1948-01-22,University of the Pacific,54th overall,4th round,Baltimore Bullets,1970,Bill Stricker
3996,1973-11-25,University of Nebraska,,,,,Erick Strickland
3997,1970-07-14,Temple University,,,,,Mark Strickland
3998,1966-07-11,DePaul University,19th overall,1st round,New York Knicks,1988,Rod Strickland
3999,1940-09-04,Jacksonville University,34th overall,4th round,Boston Celtics,1962,Roger Strickland
4000,1958-07-24,University of Montana,168th overall,8th round,Portland Trail Blazers,1980,John Stroeder
4001,1968-02-09,Xavier University,47th overall,2nd round,Philadelphia 76ers,1990,Derek Strong
4002,1968-05-10,Christopher Newport University,43rd overall,2nd round,Golden State Warriors,1991,Lamont Strothers
4003,1957-10-29,University of Mississippi,27th overall,2nd round,Houston Rockets,1980,John Stroud
4004,1941-05-02,Mississippi State University,44th overall,5th round,Boston Celtics,1963,Red Stroud
4005,1986-04-21,Eastern Washington University,15th overall,1st round,Detroit Pistons,2007,Rodney Stuckey
4006,1923-11-13,DePaul University,,1947 BAA Draf,Boston Celtics,,Gene Stump
4007,1920-04-14,University of Rhode Island,,,,,Stan Stutz
4008,1945-01-18,Midwestern State University,,,,,Gary Suiter
4009,1992-03-04,Ohio State University,21st overall,1st round,Boston Celtics,2012,Jared Sullinger
4010,1988-01-24,Georgetown University,35th overall,2nd round,Detroit Pistons,2009,DaJuan Summers
4011,1995-12-31,Xavier University,52nd overall,2nd round,New Orleans Pelicans,2017,Edmond Sumner
4012,1965-11-11,"University of Louisville, Austin Peay State University",56th overall,3rd round,San Antonio Spurs,1988,Barry Sumpter
4013,1929-12-20,University of Illinois at Urbana-Champaign,9th overall,1st round,Philadelphia Warriors,1951,Don Sunderlage
4014,1980-02-10,,35th overall,2nd round,Dallas Mavericks,1998,Bruno Sundov
4015,1961-07-02,University of Missouri,16th overall,1st round,Seattle SuperSonics,1983,Jon Sundvold
4016,1973-03-25,Florida State University,17th overall,1st round,Cleveland Cavaliers,1995,Bob Sura
4017,1929-11-16,Long Island University,,1952 NBA Draf,New York Knicks,,Dick Surhoff
4018,1943-09-14,La Salle University,,,,,George Sutor
4019,1961-08-09,Pepperdine University,152nd overall,7th round,Kansas City Kings,1983,Dane Suttle
4020,1967-12-03,Oral Roberts University,49th overall,2nd round,San Antonio Spurs,1991,Greg Sutton
4021,1945-10-30,University of the Pacific,36th overall,4th round,New York Knicks,1967,Keith Swagerty
4022,1933-12-16,Texas Southern University,7th overall,1st round,Boston Celtics,1958,Bennie Swain
4023,1997-04-18,Purdue University,26th overall,1st round,Portland Trail Blazers,2017,Caleb Swanigan
4024,1930-10-04,University of Detroit Mercy,,1953 NBA Draf,Rochester Royals,,Norm Swanson
4025,1934-12-23,Morehead State University,1956 NBA Draft,4th roun,Boston Celtics,,Dan Swartz
4026,1982-10-25,Georgetown University,9th overall,1st round,New York Knicks,2003,Mike Sweetney
4027,1985-12-03,,12th overall,1st round,Seattle SuperSonics,2004,Robert Swift
4028,1946-06-19,East Tennessee State University,31st overall,3rd round,Milwaukee Bucks,1969,Skeeter Swift
4029,1979-11-21,Louisiana State University,2nd overall,1st round,Vancouver Grizzlies,2000,Stromile Swift
4030,1971-01-09,Auburn University,,,,,Aaron Swinson
4031,1988-04-05,,53rd overall,2nd round,Atlanta Hawks,2010,Pape Sy
4032,1921-09-19,Western Kentucky University,,,,,Buck Sydnor
4033,1973-04-11,Xavier University,,,,,Larry Sykes
4034,1968-02-01,Augustana College (SD),,,,,Brett Szabo
4035,1977-03-05,Miami University,6th overall,1st round,Minnesota Timberwolves,1999,Wally Szczerbiak
4036,1949-08-21,George Washington University,65th overall,4th round,Phoenix Suns,1971,Walt Szczerbiak
4037,1970-06-15,,51st overall,2nd round,Houston Rockets,1991,Zan Tabak
4038,1980-10-05,Brigham Young University Hawaii,,,,,Yuta Tabuse
4039,1985-03-10,University of Pittsburgh,42nd overall,2nd round,Golden State Warriors,2005,Chris Taft
4040,1925-10-08,New York University,,,,,Sid Tanenbaum
4041,1973-05-09,,31st overall,2nd round,Chicago Bulls,1995,Dragan Tarlac
4042,1964-11-28,University of Michigan,7th overall,1st round,Dallas Mavericks,1986,Roy Tarpley
4043,1942-06-01,Bradley University,52nd overall,6th round,Boston Celtics,1964,Levern Tart
4044,1953-07-26,Marquette University,21st overall,2nd round,Los Angeles Lakers,1976,Earl Tatum
4045,1998-03-03,Duke University,3rd overall,1st round,Boston Celtics,2017,Jayson Tatum
4046,1992-03-22,,43rd overall,2nd round,Atlanta Hawks,2014,Edy Tavares
4047,1965-11-30,University of Oregon,44th overall,2nd round,Atlanta Hawks,1988,Anthony Taylor
4048,1951-06-09,Princeton University,23rd overall,2nd round,Seattle SuperSonics,1972,Brian Taylor
4049,1982-07-26,"Okaloosa-Walton Community College, University of Alabama at Birmingham",,,,,Donell Taylor
4050,1946-03-13,La Salle University,167th overall,12th round,Philadelphia 76ers,1969,Fatty Taylor
4051,1948-02-05,University of Texas-Pan American,27th overall,2nd round,Phoenix Suns,1970,Fred Taylor
4052,1994-07-11,University of Texas at Austin,,,,,Isaiah Taylor
4053,1967-10-03,Eastern Illinois University,,,,,Jay Taylor
4054,1960-01-01,Texas Tech University,42nd overall,2nd round,Houston Rockets,1982,Jeff Taylor
4055,1989-05-23,Vanderbilt University,31st overall,2nd round,Charlotte Bobcats,2012,Jeff Taylor
4056,1986-12-08,University of Central Florida,32nd overall,2nd round,Washington Wizards,2009,Jermaine Taylor
4057,1974-06-04,"Indian Hills Community College, University of Tennessee at Chattanooga",17th overall,1st round,Orlando Magic,1997,Johnny Taylor
4058,1966-05-02,University of California,,,,,Leonard Taylor
4059,1976-10-30,University of Michigan,14th overall,1st round,Los Angeles Clippers,1997,Maurice Taylor
4060,1986-01-21,Iowa State University,55th overall,2nd round,Portland Trail Blazers,2008,Mike Taylor
4061,1947-03-07,University of Houston,189th overall,12th round,Cleveland Cavaliers,1970,Oliver Taylor
4062,1947-11-21,University of Southern California,18th overall,2nd round,Seattle SuperSonics,1969,Ronald Taylor
4063,1990-04-12,University of Kansas,41st overall,2nd round,Portland Trail Blazers,2012,Tyshawn Taylor
4064,1960-09-11,Duke University,34th overall,2nd round,New York Knicks,1982,Vince Taylor
4065,1960-04-10,Baylor University,16th overall,1st round,Houston Rockets,1982,Terry Teagle
4066,1988-06-10,Wake Forest University,19th overall,1st round,Atlanta Hawks,2009,Jeff Teague
4067,1993-02-28,University of Kentucky,29th overall,1st round,Chicago Bulls,2012,Marquis Teague
4068,1985-09-18,,,,,,Mirza Teletovic
4069,1985-06-09,,13th overall,1st round,Portland Trail Blazers,2004,Sebastian Telfair
4070,1952-11-08,Louisiana State University,94th overall,6th round,Phoenix Suns,1974,Collis Temple
4071,1986-05-08,Louisiana State University,,,,,Garrett Temple
4072,1987-03-19,,,,,,Milos Teodosic
4073,1954-06-19,Southern Methodist University,45th overall,3rd round,Phoenix Suns,1976,Ira Terrell
4074,1995-02-10,University of Rhode Island,,,,,Jared Terrell
4075,1956-06-22,Winston-Salem State University,104th overall,5th round,Los Angeles Lakers,1978,Carlos Terry
4076,1950-09-27,"California State University, Long Beach",29th overall,2nd round,Milwaukee Bucks,1972,Chuck Terry
4077,1950-01-12,Stanford University,42nd overall,3rd round,Phoenix Suns,1972,Claude Terry
4078,1996-08-21,Lincoln Memorial University,,,,,Emanuel Terry
4079,1977-09-15,University of Arizona,10th overall,1st round,Atlanta Hawks,1999,Jason Terry
4080,1987-02-16,University of Connecticut,2nd overall,1st round,Memphis Grizzlies,2009,Hasheem Thabeet
4081,1939-11-02,University of Cincinnati,,1963 NBA Draft,Cincinnati Royals,,Tom Thacker
4082,1944-09-05,Kentucky State University,,,,,Floyd Theard
4083,1992-04-04,,,,,,Daniel Theis
4084,1957-10-13,"University of Nevada, Las Vegas",9th overall,1st round,Chicago Bulls,1978,Reggie Theus
4085,1961-10-03,Saint Mary's College of California,77th overall,4th round,Golden State Warriors,1983,Peter Thibeaux
4086,1935-03-28,Hofstra University,,1956 NBA Draf,Fort Wayne Pistons,,Bill Thieben
4087,1947-08-13,Weber State University,147th overall,11th round,San Diego Rockets,1969,Justus Thigpen
4088,1960-04-12,Bradley University,15th overall,1st round,Phoenix Suns,1982,David Thirdkill
4089,1993-03-25,University of Memphis,,,,,Adonis Thomas
4090,1975-12-23,University of Kansas,,,,,Billy Thomas
4091,1969-10-03,Eastern Michigan University,,,,,Carl Thomas
4092,1969-10-03,Eastern Michigan University,,,,,Charles Thomas
4093,1978-04-01,Syracuse University,12th overall,1st round,Dallas Mavericks,2000,Etan Thomas
4094,1966-01-02,"University of Kentucky, Florida State University",,,,,Irving Thomas
4095,1989-02-07,University of Washington,60th overall,2nd round,Sacramento Kings,2011,Isaiah Thomas
4096,1961-04-30,Indiana University,2nd overall,1st round,Detroit Pistons,1981,Isiah Thomas
4097,1973-03-25,Providence College,,,,,Jamel Thomas
4098,1980-11-22,University of Texas at Austin,,,,,James Thomas
4099,1960-10-19,Indiana University,40th overall,2nd round,Indiana Pacers,1983,Jim Thomas
4100,1948-03-09,Marquette University,95th overall,6th round,Phoenix Suns,1970,Joe Thomas
4101,1975-09-08,University of Minnesota,25th overall,1st round,New York Knicks,1997,John Thomas
4102,1977-07-25,University of New Mexico,22nd overall,1st round,Houston Rockets,1999,Kenny Thomas
4103,1996-05-08,Creighton University,38th overall,2nd round,Philadelphia 76ers,2018,Khyri Thomas
4104,1972-10-04,Texas Christian University,10th overall,1st round,Miami Heat,1995,Kurt Thomas
4105,1988-04-24,Duke University,,,,,Lance Thomas
4106,1988-11-08,"Pepperdine University, San Diego State University",,,,,Malcolm Thomas
4107,1950-11-19,University of Louisville,90th overall,6th round,Seattle SuperSonics,1972,Ronald Thomas
4108,1953-08-20,University of Detroit Mercy,151st overall,9th round,Detroit Pistons,1975,Terry Thomas
4109,1977-02-26,Villanova University,7th overall,1st round,New Jersey Nets,1997,Tim Thomas
4110,1986-08-17,Louisiana State University,4th overall,1st round,Portland Trail Blazers,2006,Tyrus Thomas
4111,,Tennessee State University,,,,,Willis Thomas
4112,1990-05-20,University of Georgia,37th overall,2nd round,Los Angeles Clippers,2011,Trey Thompkins
4113,1962-08-30,"California State University, Fresno",19th overall,1st round,Portland Trail Blazers,1984,Bernard Thompson
4114,1963-12-01,University of Louisville,19th overall,1st round,Atlanta Hawks,1986,Billy Thompson
4115,1970-07-19,"Texas A&M University, Oklahoma State University",27th overall,1st round,Orlando Magic,1994,Brooks Thompson
4116,1960-02-05,University of Connecticut,50th overall,3rd round,Dallas Mavericks,1982,Corny Thompson
4117,1954-07-13,North Carolina State University,1st overall,1st round,Atlanta Hawks,1975,David Thompson
4118,1983-02-23,"University of California, Los Angeles",54th overall,2nd round,New York Knicks,2005,Dijon Thompson
4119,1947-11-29,Marquette University,66th overall,5th round,Boston Celtics,1969,George Thompson
4120,1991-04-03,Georgetown University,,,,,Hollis Thompson
4121,1946-03-26,University of South Carolina,33rd overall,3rd round,Baltimore Bullets,1968,Jack Thompson
4122,1986-07-21,Rider University,12th overall,1st round,Sacramento Kings,2008,Jason Thompson
4123,1941-09-02,Providence College,25th overall,3rd round,Boston Celtics,1964,John Thompson
4124,1971-02-07,North Carolina State University,48th overall,2nd round,Portland Trail Blazers,1993,Kevin Thompson
4125,1990-02-08,Washington State University,11th overall,1st round,Golden State Warriors,2011,Klay Thompson
4126,1961-06-23,University of Texas at Austin,5th overall,1st round,Kansas City Kings,1982,LaSalle Thompson
4127,1955-01-30,University of Minnesota,1st overall,1st round,Portland Trail Blazers,1978,Mychal Thompson
4128,1988-06-01,Pepperdine University,,,,,Mychel Thompson
4129,1961-05-25,Tulane University,50th overall,3rd round,Cleveland Cavaliers,1983,Paul Thompson
4130,1968-12-02,Syracuse University,,,,,Stephen Thompson
4131,1991-03-13,University of Texas at Austin,4th overall,1st round,Cleveland Cavaliers,2011,Tristan Thompson
4132,1943-04-05,University of Illinois at Urbana-Champaign,30th overall,4th round,Baltimore Bullets,1965,Skip Thoren
4133,1941-05-23,West Virginia University,2nd overall,1st round,Baltimore Bullets,1963,Rod Thorn
4134,1983-12-07,Florida State University,14th overall,1st round,Los Angeles Clippers,2007,Al Thornton
4135,1962-07-10,"University of California, Irvine",87th overall,4th round,New York Knicks,1984,Bob Thornton
4136,1946-09-01,Kentucky Wesleyan College,40th overall,4th round,Baltimore Bullets,1968,Dallas Thornton
4137,1987-06-05,Louisiana State University,43rd overall,2nd round,Miami Heat,2009,Marcus Thornton
4138,1994-11-15,University of South Carolina,48th overall,2nd round,Milwaukee Bucks,2017,Sindarius Thornwell
4139,1962-08-05,Providence College,9th overall,1st round,Kansas City Kings,1984,Otis Thorpe
4140,1961-09-10,West Virginia University Institute of Technology,139th overall,6th round,Philadelphia 76ers,1983,Sedale Threatt
4141,1941-07-25,Bowling Green State University,3rd overall,1st round,San Francisco Warriors,1963,Nate Thurmond
4142,1919-01-16,Canisius College,,,,,Mel Thurston
4143,1915-08-04,Washington & Jefferson College,,,,,Hal Tidrick
4144,1940-11-30,Thomas More College,,,,,Dan Tieman
4145,1960-02-23,Cleveland State University,23rd overall,1st round,Boston Celtics,1982,Darren Tillis
4146,1924-12-30,University of Kentucky,,1947 BAA Draf,Washington Capitols,,Jack Tingle
4147,1946-09-19,Kentucky Wesleyan College,76th overall,6th round,Chicago Bulls,1969,George Tinsley
4148,1978-02-28,Iowa State University,27th overall,1st round,Memphis Grizzlies,2001,Jamaal Tinsley
4149,1964-06-09,University of Oklahoma,2nd overall,1st round,Indiana Pacers,1985,Wayman Tisdale
4150,1994-10-10,University of Virginia,,,,,Mike Tobey
4151,1923-06-11,University of Wyoming,,,,,Mike Todorovich
4152,1958-09-10,Indiana University,18th overall,1st round,New Jersey Nets,1981,Ray Tolbert
4153,1965-10-16,"University of California, Irvine, University of Arizona",34th overall,2nd round,Charlotte Hornets,1988,Tom Tolbert
4154,1985-06-01,Creighton University,,,,,Anthony Tolliver
4155,1951-11-25,University of Arkansas,80th overall,5th round,Seattle SuperSonics,1974,Dean Tolson
4156,1948-11-24,University of Michigan,2nd overall,1st round,San Diego Rockets,1970,Rudy Tomjanovich
4157,1957-11-23,University of Louisiana at Lafayette,8th overall,1st round,Philadelphia 76ers,1980,Andrew Toney
4158,1962-04-13,University of Dayton,59th overall,3rd round,Atlanta Hawks,1985,Sedric Toney
4159,1922-11-01,Marshall University,1st overall,1st round,Providence Steamrollers,1948,Andy Tonkovich
4160,1966-01-19,Brigham Young University,,,,,Andy Toolson
4161,1922-08-09,University of the Pacific,,,,,Jack Toomay
4162,1956-07-14,Marquette University,37th overall,2nd round,Philadelphia 76ers,1979,Bernard Toone
4163,1917-03-06,Long Island University,,,,,Irv Torgoff
4164,1937-05-12,University of Tennessee,11th overall,2nd round,Syracuse Nationals,1959,Gene Tormohlen
4165,1976-12-18,,,,,,Oscar Torres
4166,1926-06-02,Indiana University,32nd overall,4th round,Indianapolis Olympians,1951,Bill Tosheff
4167,1920-08-28,St. John's University,,,,,Bob Tough
4168,1992-07-23,,,,,,Axel Toupane
4169,1953-09-27,North Carolina State University,57th overall,4th round,Atlanta Hawks,1975,Monte Towe
4170,1970-05-15,University of Notre Dame,,,,,Keith Tower
4171,1920-06-20,Western Kentucky University,,,,,Blackie Towery
4172,1959-11-30,James Madison University,33rd overall,2nd round,Portland Trail Blazers,1982,Linton Townes
4173,1995-11-15,University of Kentucky,1st overall,1st round,Minnesota Timberwolves,2015,Karl-Anthony Towns
4174,1955-12-20,"University of California, Los Angeles",22nd overall,1st round,Golden State Warriors,1978,Raymond Townsend
4175,1948-07-11,"California State University, Long Beach",5th overall,1st round,Atlanta Hawks,1971,George Trapp
4176,1945-10-02,"University of Nevada, Las Vegas",15th overall,2nd round,San Diego Rockets,1968,John Trapp
4177,1977-02-01,University of Michigan,6th overall,1st round,Dallas Mavericks,1998,Robert Traylor
4178,1974-09-22,Ohio University,11th overall,1st round,Milwaukee Bucks,1995,Gary Trent
4179,1999-01-18,Duke University,37th overall,2nd round,Sacramento Kings,2018,Gary Trent Jr
4180,1979-07-11,University of Southern California,36th overall,2nd round,Cleveland Cavaliers,2001,Jeff Trepagnier
4181,1939-11-06,Seattle University,40th overall,5th round,St. Louis Hawks,1964,John Tresvant
4182,1996-01-17,University of Arizona,,,,,Allonzo Trier
4183,1922-11-03,DePaul University,,,,,Dick Triptow
4184,1959-02-16,University of Notre Dame,12th overall,1st round,Detroit Pistons,1981,Kelly Tripucka
4185,1950-08-24,University of California,41st overall,3rd round,New York Knicks,1972,Ansley Truitt
4186,1979-09-22,,,,,,Cezary Trybanski
4187,1979-06-10,,25th overall,1st round,Phoenix Suns,2000,Jake Tsakalidis
4188,1950-04-25,"University of California, Santa Barbara",,,,,John Tschogl
4189,1930-08-31,University of Kentucky,1953 NBA Draft,7th roun,Boston Celtics,,Lou Tsioropoulos
4190,1983-04-14,,5th overall,1st round,Denver Nuggets,2002,Nikoloz Tskitishvili
4191,1943-02-24,Oklahoma Baptist University,6th overall,1st round,Seattle SuperSonics,1967,Al Tucker
4192,1984-02-11,University of Wisconsin,29th overall,1st round,Phoenix Suns,2007,Alando Tucker
4193,1969-04-04,"Georgetown University, Wake Forest University",,,,,Anthony Tucker
4194,1932-12-11,Duquesne University,24th overall,3rd round,Syracuse Nationals,1954,Jim Tucker
4195,1985-05-05,University of Texas at Austin,35th overall,2nd round,Toronto Raptors,2006,PJ Tucker
4196,1959-12-20,University of Minnesota,6th overall,1st round,New York Knicks,1982,Trent Tucker
